D:\Veilpay\apps\consumer-app\src\components\payment\PaymentStatusCard.tsx: line 85, col 38, Warning - Missing return type on function. (@typescript-eslint/explicit-function-return-type)
D:\Veilpay\apps\consumer-app\src\components\payment\TransactionDetailsCard.tsx: line 16, col 37, Warning - Missing return type on function. (@typescript-eslint/explicit-function-return-type)
D:\Veilpay\apps\consumer-app\src\components\payment\TransactionDetailsCard.tsx: line 22, col 8, Warning - Missing return type on function. (@typescript-eslint/explicit-function-return-type)
D:\Veilpay\apps\consumer-app\src\components\payment\TransactionDetailsCard.tsx: line 89, col 30, Warning - Unexpected any. Specify a different type. (@typescript-eslint/no-explicit-any)
D:\Veilpay\apps\consumer-app\src\components\payment\TransactionDetailsCard.tsx: line 89, col 35, Warning - Missing return type on function. (@typescript-eslint/explicit-function-return-type)
D:\Veilpay\apps\consumer-app\src\components\payment\TransactionResultModal.tsx: line 26, col 8, Warning - Missing return type on function. (@typescript-eslint/explicit-function-return-type)
D:\Veilpay\apps\consumer-app\src\components\payment\TransactionResultModal.tsx: line 120, col 38, Warning - Missing return type on function. (@typescript-eslint/explicit-function-return-type)
D:\Veilpay\apps\consumer-app\src\components\payment\TransactionStatusCard.tsx: line 12, col 13, Warning - Unexpected any. Specify a different type. (@typescript-eslint/no-explicit-any)
D:\Veilpay\apps\consumer-app\src\components\payment\TransactionStatusCard.tsx: line 17, col 8, Warning - Missing return type on function. (@typescript-eslint/explicit-function-return-type)
D:\Veilpay\apps\consumer-app\src\components\payment\TransactionStatusCard.tsx: line 74, col 30, Warning - Unexpected any. Specify a different type. (@typescript-eslint/no-explicit-any)
D:\Veilpay\apps\consumer-app\src\components\payment\TransactionStatusCard.tsx: line 74, col 35, Warning - Missing return type on function. (@typescript-eslint/explicit-function-return-type)
D:\Veilpay\apps\consumer-app\src\hooks\__tests__\usePaymentTransaction.dispatch.property.test.ts: line 118, col 5, Warning - Missing return type on function. (@typescript-eslint/explicit-function-return-type)
D:\Veilpay\apps\consumer-app\src\hooks\__tests__\usePaymentTransaction.dispatch.property.test.ts: line 138, col 3, Warning - Missing return type on function. (@typescript-eslint/explicit-function-return-type)
D:\Veilpay\apps\consumer-app\src\hooks\__tests__\usePaymentTransaction.dispatch.property.test.ts: line 140, col 3, Warning - Missing return type on function. (@typescript-eslint/explicit-function-return-type)
D:\Veilpay\apps\consumer-app\src\hooks\__tests__\usePaymentTransaction.dispatch.property.test.ts: line 169, col 5, Warning - Missing return type on function. (@typescript-eslint/explicit-function-return-type)
D:\Veilpay\apps\consumer-app\src\hooks\__tests__\usePaymentTransaction.dispatch.property.test.ts: line 194, col 3, Warning - Missing return type on function. (@typescript-eslint/explicit-function-return-type)
D:\Veilpay\apps\consumer-app\src\hooks\__tests__\usePaymentTransaction.dispatch.property.test.ts: line 277, col 3, Warning - Missing return type on function. (@typescript-eslint/explicit-function-return-type)
D:\Veilpay\apps\consumer-app\src\hooks\__tests__\usePaymentTransaction.dispatch.property.test.ts: line 288, col 3, Warning - Missing return type on function. (@typescript-eslint/explicit-function-return-type)
D:\Veilpay\apps\consumer-app\src\hooks\__tests__\usePaymentTransaction.dispatch.property.test.ts: line 290, col 3, Warning - Missing return type on function. (@typescript-eslint/explicit-function-return-type)
D:\Veilpay\apps\consumer-app\src\hooks\__tests__\usePaymentTransaction.dispatch.property.test.ts: line 394, col 28, Warning - Missing return type on function. (@typescript-eslint/explicit-function-return-type)
D:\Veilpay\apps\consumer-app\src\hooks\__tests__\usePaymentTransaction.dispatch.property.test.ts: line 429, col 5, Warning - Missing return type on function. (@typescript-eslint/explicit-function-return-type)
D:\Veilpay\apps\consumer-app\src\hooks\__tests__\useStealthScanner.lifecycle.test.tsx: line 48, col 7, Warning - Missing return type on function. (@typescript-eslint/explicit-function-return-type)
D:\Veilpay\apps\consumer-app\src\hooks\__tests__\useStealthScanner.lifecycle.test.tsx: line 101, col 18, Warning - Missing return type on function. (@typescript-eslint/explicit-function-return-type)
